barcode,first_type
cellid_000000666-1,Tumor
cellid_000000667-1,Tumor
cellid_000000668-1,Tumor
cellid_000000669-1,Endothelial
cellid_000000670-1,Tumor
cellid_000000671-1,Endothelial
cellid_000000672-1,Myeloid
cellid_000000673-1,Tumor
cellid_000000674-1,Fibroblast
cellid_000000675-1,Tumor
cellid_000000676-1,Myeloid
cellid_000000677-1,Tumor
cellid_000000678-1,Myeloid
cellid_000000679-1,Endothelial
cellid_000000680-1,Endothelial
cellid_000000681-1,Fibroblast
cellid_000000682-1,Myeloid
cellid_000000683-1,B cells
cellid_000000684-1,Myeloid
cellid_000000685-1,Fibroblast
cellid_000000686-1,Tumor
cellid_000000687-1,Tumor
cellid_000000688-1,Myeloid
cellid_000000689-1,Endothelial
cellid_000000690-1,Myeloid
cellid_000000691-1,Tumor
cellid_000000692-1,Myeloid
cellid_000000693-1,Tumor
cellid_000000694-1,Tumor
cellid_000000695-1,T cells
cellid_000000696-1,Endothelial
cellid_000000697-1,Fibroblast
cellid_000000698-1,Tumor
cellid_000000699-1,Fibroblast
cellid_000000700-1,B cells
cellid_000000701-1,Myeloid
cellid_000000702-1,Endothelial
cellid_000000703-1,Myeloid
cellid_000000704-1,Fibroblast
cellid_000000705-1,Fibroblast
cellid_000000706-1,Tumor
cellid_000000707-1,Tumor
cellid_000000708-1,Tumor
cellid_000000709-1,Tumor
cellid_000000710-1,Fibroblast
cellid_000000711-1,Tumor
cellid_000000712-1,Myeloid
cellid_000000713-1,Tumor
cellid_000000714-1,Tumor
cellid_000000715-1,Fibroblast
cellid_000000716-1,Tumor
cellid_000000717-1,B cells
cellid_000000718-1,Tumor
cellid_000000719-1,Tumor
cellid_000000720-1,Tumor
cellid_000000721-1,Tumor
cellid_000000722-1,Fibroblast
cellid_000000723-1,Myeloid
cellid_000000724-1,Tumor
cellid_000000725-1,T cells
cellid_000000726-1,Endothelial
cellid_000000727-1,Endothelial
cellid_000000728-1,Tumor
cellid_000000729-1,Fibroblast
cellid_000000730-1,Endothelial
cellid_000000731-1,Tumor
cellid_000000732-1,Fibroblast
cellid_000000733-1,Tumor
cellid_000000734-1,Myeloid
cellid_000000735-1,Tumor
cellid_000000736-1,Fibroblast
cellid_000000737-1,Fibroblast
cellid_000000738-1,Tumor
cellid_000000739-1,Tumor
cellid_000000740-1,Tumor
cellid_000000741-1,Myeloid
cellid_000000742-1,Endothelial
cellid_000000743-1,Myeloid
cellid_000000744-1,Endothelial
cellid_000000745-1,Endothelial
cellid_000000746-1,Myeloid
cellid_000000747-1,Tumor
cellid_000000748-1,Tumor
cellid_000000749-1,Tumor
cellid_000000750-1,Fibroblast
cellid_000000751-1,Tumor
cellid_000000752-1,Tumor
cellid_000000753-1,Tumor
cellid_000000754-1,Tumor
cellid_000000755-1,Tumor
cellid_000000756-1,Fibroblast
cellid_000000757-1,Myeloid
cellid_000000758-1,Myeloid
cellid_000000759-1,Myeloid
cellid_000000760-1,Fibroblast
cellid_000000761-1,Endothelial
cellid_000000762-1,Tumor
cellid_000000763-1,Fibroblast
cellid_000000764-1,Fibroblast
cellid_000000765-1,Tumor
cellid_000000766-1,Tumor
cellid_000000767-1,T cells
cellid_000000768-1,Fibroblast
cellid_000000769-1,Myeloid
cellid_000000770-1,Tumor
cellid_000000771-1,Tumor
cellid_000000772-1,Fibroblast
cellid_000000773-1,Tumor
cellid_000000774-1,Myeloid
cellid_000000775-1,Fibroblast
cellid_000000776-1,Fibroblast
cellid_000000777-1,Tumor
cellid_000000778-1,Fibroblast
cellid_000000779-1,Fibroblast
cellid_000000780-1,Tumor
cellid_000000781-1,Tumor
cellid_000000782-1,Fibroblast
cellid_000000783-1,Myeloid
cellid_000000784-1,Fibroblast
cellid_000000785-1,Tumor
cellid_000000786-1,Fibroblast
cellid_000000787-1,T cells
cellid_000000788-1,Tumor
cellid_000000789-1,Tumor
cellid_000000790-1,Tumor
cellid_000000791-1,Tumor
cellid_000000792-1,Endothelial
cellid_000000793-1,Tumor
cellid_000000794-1,Tumor
cellid_000000795-1,Myeloid
cellid_000000796-1,Tumor
cellid_000000797-1,Tumor
